name,3_grams_1,3_grams_2,3_grams_3
Test Author,New PR to,PR to test,to test SignCLA
ripamf2991,Update prog207_2.md,prog207_2.md,
davidbyoung,Changed Composer to,Composer to prefer,to prefer stable
ripamf2991,Update ncid278.md,ncid278.md,
netdatabot,[ci skip] create,skip] create nightly,create nightly packages
netdatabot,[Package amd64 DEB][Build,amd64 DEB][Build latest],DEB][Build latest] Package
netdatabot,[Package i386 DEB][Build,i386 DEB][Build latest],DEB][Build latest] Package
netdatabot,[Package amd64 RPM][Build,amd64 RPM][Build latest],RPM][Build latest] Package
netdatabot,[Package i386 RPM][Build,i386 RPM][Build latest],RPM][Build latest] Package
Mirko Brombin,Fix Issue #1,Issue #1,#1
Damien Elmes,drop isort req,isort req completely,req completely to
wessilfie,rebuild pages,pages,
Andrew Leverette,Update leap solution,leap solution,solution
ripamf2991,Update prog204_2.md,prog204_2.md,
numairmansur,random seed,seed,
bot,2020-01-01T00:52+00:00 [skip ci],[skip ci],ci]
otiny,update,,
Mahmudul Hoque,working on password,on password reset,password reset email
ripamf2991,Update ncid283.md,ncid283.md,
Lee Bardon,Automatically backed up,backed up by,up by Learn
ripamf2991,Update prog202_3.md,prog202_3.md,
daneshchacko,Rename Metadata of,Metadata of P165,of P165 Tanjung
Marco Acierno,Hotels,,
otiny,update,,
ItsDeltin,Fixed calling variables,calling variables in,variables in indexed
ripamf2991,Update ncid277.md,ncid277.md,
Tetsu Yamazaki,Merge tag '1.2.0',tag '1.2.0' into,'1.2.0' into develop
Tetsu Yamazaki,"### Added
- 組織タイプにProjectを追加
-","Added
- 組織タイプにProjectを追加
- プロジェクトメンバーリポジトリを追加

###","組織タイプにProjectを追加
- プロジェクトメンバーリポジトリを追加

### Changed
-"
Tetsu Yamazaki,release v1.3.0,v1.3.0,
Tetsu Yamazaki,Merge branch 'release/1.3.0',branch 'release/1.3.0','release/1.3.0'
RhXKGxbwQHmTREDU,44755157,,
RODNEY CURL,tm focused,focused,
Hampus,Create readme,readme,
Zack Johnson,"Created First Map

temp","First Map

temp art","Map

temp art first"
ripamf2991,Update prog204_3.md,prog204_3.md,
terrypacker,Add Role vs.,Role vs. RoleVO,vs. RoleVO concept
Alan Field,:robot: Triggering CI,Triggering CI on,CI on branch
Lee Bardon,Automatically backed up,backed up by,up by Learn
ripamf2991,Update ncid280.md,ncid280.md,
otiny,update,,
langwenda,update,,
"Pai, Darshan S",Example Daily 407,Daily 407,407
Rietty,"Finished day 5,","day 5, 2015.","5, 2015."
gfw-breaker,同步于: 1月1日8时52分,1月1日8时52分,
ripamf2991,Update headline-news_1.md,headline-news_1.md,
Zachary Jacobs,Automatically backed up,backed up by,up by Learn
Kevin Li,Update devlog.txt,devlog.txt,
ymatuhin,Source changes for,"changes for v2.0.2

Rewrote","for v2.0.2

Rewrote checking"
ymatuhin,"Release v2.0.2

+ update","v2.0.2

+ update npm","update npm scripts
+"
ripamf2991,Update ncid282.md,ncid282.md,
limin0801,Upload by PicGo,by PicGo,PicGo
David Cornelis Groothuizen Dijkema,Changed recursion rules,recursion rules to,rules to avoid
Aishwarya Pawar,Add files via,files via upload,via upload
Montana Mendy,Using axios/promises to,axios/promises to return,to return vuns
otiny,update,,
ripamf2991,Update editor-pickup_1.md,editor-pickup_1.md,
Rick Cogley,Logr new post,new post 20200101-095245,post 20200101-095245
Burgess Chang,Update theme,theme,
phorton1,year end commit_push,end commit_push,commit_push
GitClock,update time,time,
Crista Lopes,Minor aesthetic improvements,aesthetic improvements,improvements
ripamf2991,Update ncid282_2.md,ncid282_2.md,
jerryfishzz,User behavior state,"behavior state modification

feat:","state modification

feat: Rename"
Martin Drab,[launcher]: Add the,Add the first,the first implementation
Scott Matsuda,Automatically backed up,backed up by,up by Learn
Ling Thio,pre font-size 0.8em,font-size 0.8em,0.8em
vincenira,Release v1.0.1 with,v1.0.1 with a,with a bug
GitHub Action Bot,Updating data.json,data.json,
ripamf2991,Update culture-world_1.md,culture-world_1.md,
Markus Heidt,#112 zcontroller,zcontroller,
pentarctagon,Remove WindowsTimeout.cpp and,"WindowsTimeout.cpp and related.

This","and related.

This is"
otiny,update,,
Adrien Tateno,Implement triggers and,triggers and terminal,and terminal dimension
jekyllvn,Update post.html,post.html,
Francis Bulus,fixed font size,font size issue,size issue on
Brandon Galletta,Libraries used,used,
ripamf2991,Update ncid281.md,ncid281.md,
Tetsu Yamazaki,release v1.3.0,v1.3.0,
Tetsu Yamazaki,Merge branch 'release/1.3.0',branch 'release/1.3.0','release/1.3.0'
Tetsu Yamazaki,Merge tag '1.3.0',tag '1.3.0' into,'1.3.0' into develop
Håvar Henriksen,Pontoon: Update Norwegian,Update Norwegian Bokmål,Norwegian Bokmål (nb-NO)
ripamf2991,Update headline-news_2.md,headline-news_2.md,
SockPuppetry,Travis CI build,CI build 187087,build 187087
Ali,Add files via,files via upload,via upload
Ove,add x-axis,x-axis,
ripamf2991,Update ncid2420.md,ncid2420.md,
otiny,update,,
ripamf2991,Update editor-pickup_2.md,editor-pickup_2.md,
suhuiAdmin,debug getUserCardListByPhone,getUserCardListByPhone,
ripamf2991,Update ncid279.md,ncid279.md,
the crafty coder,linking MARKDOWN.MD to,MARKDOWN.MD to README.MD,to README.MD
Ofek Lev,hmm,,
otiny,update,,
kosukesaigusa,rebuilding site Wed,site Wed Jan,Wed Jan 
ripamf2991,Update prog1135_1.md,prog1135_1.md,
Shizcow,Another slight performance,slight performance boost,performance boost in
Gábor Csárdi,Add name of,name of package,of package being
Hadley Wickham,normalizePath() before passing,before passing to,passing to digest
Jennifer (Jenny) Bryan,"Formatting, links, house","links, house style",house style (#942)
Mikkel Meyer Andersen,Missing 'x' (#946),'x' (#946),(#946)
Jim Hester,Add Google Analytics,Google Analytics key,Analytics key
Hadley Wickham,Add google analytics,google analytics,analytics
Hadley Wickham,Template param was,param was already,was already there?
Gábor Csárdi,Add `r6` option,`r6` option to,option to suppress
Gábor Csárdi,Fix typos in,typos in test,in test names
Gábor Csárdi,R6 docs for,docs for the,for the clone()
Hadley Wickham,Alias `@returns` to,"`@returns` to `@return`

Fixes","to `@return`

Fixes #952"
Hadley Wickham,More on documenting,on documenting S3,"documenting S3 methods

Fixes"
Gábor Csárdi,Do not escape,not escape within,escape within \dontshow
Gábor Csárdi,Add $clone() method,$clone() method docs,method docs for
Hadley Wickham,"Standardise quoting/backticking

* Namespace","quoting/backticking

* Namespace always",Namespace always uses
Hadley Wickham,Write each family,each family link,family link on
Hadley Wickham,Replace broken link,broken link,link
Hadley Wickham,Fix another bad,another bad url,bad url
Hadley Wickham,Polish news,news,
Hadley Wickham,Add missing topic,missing topic to,topic to ref
ripamf2991,Update nf6092.md,nf6092.md,
thomasmarsh16,Update README.md,README.md,
IOhacker,Adding a better,a better way,better way to
ripamf2991,Update prog1135_2.md,prog1135_2.md,
otiny,update,,
ftc9881,here comes everything,comes everything else,everything else
Anthony Holder,Automatically backed up,backed up by,up by Learn
Scott Matsuda,Automatically backed up,backed up by,up by Learn
FreedomFries37,More work on,work on error,on error reporting
Sungwoo Park,191227,,
Charlie J,GitBook: [master] 2,[master] 2 pages,2 pages modified
ripamf2991,Update .md,.md,
TechnoStudy,"day 12, Practice","12, Practice",Practice
Ri Xin Yang,Automatically backed up,backed up by,up by Learn
ripamf2991,Update prog1745_1.md,prog1745_1.md,
Daniel Bennett,Dramatically speed up,speed up chapter,up chapter tap
Daniel Bennett,Only show next,show next and,next and prev
Daniel Bennett,Only load popover,load popover if,"popover if selected,"
Daniel Bennett,Improve speed by,speed by loading,by loading strongs
otiny,update,,
Eiji Akagi,update,,
Duncan McGreggor,Tweaks for travis,for travis build.,travis build.
ripamf2991,Update prog205_1.md,prog205_1.md,
xndcn,4 items update,items update,update
aqi-moscun,Update File at:,File at: 2020-01-01,at: 2020-01-01 00:53:02
keptn,Added resources,resources,
otiny,update,,
AliKhyar,Created using Colaboratory,using Colaboratory,Colaboratory
ripamf2991,Update prog1138_1.md,prog1138_1.md,
triener,latest commit,commit,
Vashishtha Jogi,Moar dark mode,dark mode support,mode support
gun1x,intermediate push to,push to prepare,to prepare sense
Ri Xin Yang,Automatically backed up,backed up by,up by Learn
Joshua Poirier,update readme with,readme with strategy,with strategy for
Joshua Poirier,initial environment setup,environment setup,setup
Joshua Poirier,add VS Code,VS Code settings,Code settings to
Joshua Poirier,fix typo in,typo in readme,in readme
Joshua Poirier,"build game environment,","game environment, start","environment, start interacting"
Joshua Poirier,Merge pull request,pull request #1,request #1 from
otiny,update,,
Alan Nguyen,resize canvas,canvas,
ripamf2991,Update prog1647_1.md,prog1647_1.md,
gforney,soure: rename directories,rename directories containing,directories containing glut
gforney,glut source: don't,source: don't define,don't define wchar_t
gforney,smv vv: test,vv: test commit,test commit
gforney,Merge pull request,pull request #919,request #919 from
Sarah Weaver,Update index.html,index.html,
Aishwarya Pawar,Delete one,one,
GSantos23,"[rpsGame.py] -- Rock,","-- Rock, Paper,","Rock, Paper, Scissor"
Shizcow,Another slight performance,slight performance boost,performance boost in
slskopytko,utfgdzwbwu,,
Davi Silva,.,,
Bowen Zhang,add net.Interface.has(),net.Interface.has(),
EricDalrymple91,Update mushroom jerky,mushroom jerky table....yet,jerky table....yet again
veganinthestreets,Merge pull request,pull request #2,request #2 from
TigerMuskellunge,Update Lakes.css,Lakes.css,
Jan-Markus Langer,belohnend,,
mistermochi,Upload from GAS,from GAS,GAS
JavierCollipal,"typescript changes works,","changes works, its","works, its time"
Aaron Clayton,"added jshint, removed","jshint, removed all",removed all current
Aaron Clayton,added .jshint,.jshint,
ripamf2991,Update prog447_1.md,prog447_1.md,
Sarah,Adding readme,readme,
unknown,recap,,
otiny,update,,
Thomas H Bahng,upload files,files,
Holiday Tang,commit,,
OPSTestProduction,delete file E2E_DocsBranch_Prod_Dynamic/index.yml,file E2E_DocsBranch_Prod_Dynamic/index.yml at,E2E_DocsBranch_Prod_Dynamic/index.yml at 2020-01-01
William Whitworth,edit profile,profile,
dancoe77,second commit,commit,
ripamf2991,Update prog1530_1.md,prog1530_1.md,
m6ram,2019.12.31-h0p3.wiki-index.html,,
sourceconnect-tests,e2e test 2020-01-01T00:52:01.644728,test 2020-01-01T00:52:01.644728,2020-01-01T00:52:01.644728
Elijah Christensen,updated README,README,
lupantech,polish new template:,"new template: layout,","template: layout, bibs,"
Michael BAILLY,Add application layout,application layout documentation,"layout documentation file.

This"
Frédéric MARTIN,Adding some documentation,some documentation about,documentation about linshare-core
ripamf2991,Update prog1704_1.md,prog1704_1.md,
Cubity,updated ranks,ranks,
Cubity,update mobs +,mobs + remove,+ remove some
Evan Coulson,added libvips to,libvips to install,to install
otiny,update,,
"Nicolas ""Pixel"" Noble",Adding PIO Dev's,PIO Dev's verilog,Dev's verilog files.
Nicolas Noble,Merge pull request,pull request #174,request #174 from
limin0801,Upload by PicGo,by PicGo,PicGo
Riccardo Calligaro,tested project in,project in ios,"in ios environment
added"
Ri Xin Yang,Automatically backed up,backed up by,up by Learn
Rohan Murthy,remove check and,check and fix,and fix check
ripamf2991,Update prog422209_1.md,prog422209_1.md,
Mark Kolich,"Hello, world!",world!,
allinoneapps,Cron Update 1/1/20,Update 1/1/20 12:53:13,1/1/20 12:53:13 AM
Andrell Bower,Date modified from,modified from 2019-12-30,from 2019-12-30 to
Stepan Koltsov,Minor cleanup merge,cleanup merge from,merge from master
keptn,Added resources,resources,
Darren Embry,updates,,
donaldsouza,message_2020-01-01T00:53:14,,
Krzysiek,BAEL-19890: Upgrade to,Upgrade to Spring,to Spring Boot
Josh Cummings,Merge pull request,pull request #8420,request #8420 from
otiny,update,,
ripamf2991,Update prog1745_2.md,prog1745_2.md,
Jaz Singh,Lint fix,fix,
Nicholas,Fixed some typos,some typos with,typos with loot
parkerziegler,Prepare v0.2.3 release.,v0.2.3 release.,release.
Emmanuel Bengio,Update this_is_water.html,this_is_water.html,
qronix,Created register endpoint,register endpoint and,endpoint and loginWithCreds
ripamf2991,Update prog205_2.md,prog205_2.md,
Ri Xin Yang,Automatically backed up,backed up by,up by Learn
Babatunde Adelabu,fix recent project,recent project array,project array display
Benjamin Spain,Support for desktop,for desktop version,desktop version of
ripamf2991,Update prog1138_2.md,prog1138_2.md,
Alan Field,:robot: Triggering CI,Triggering CI on,CI on branch
Chelsey McKinney,creating email message,email message,message
Emirhan Kaplan,s,,
Douglas Gorand,updates for heroku,for heroku deployment,heroku deployment
thelamer,bugfix for neon,for neon,neon
beau1004,bossDB,,
Ian ORourke,Fixed team list,team list logic,list logic
Anthony Rossi,Reformat code to,code to have,to have consistent
otiny,update,,
Andrell Bower,Poseidon: fire-incidents.md last,fire-incidents.md last updated,"last updated 2019-12-31,"
ripamf2991,Update prog1647_2.md,prog1647_2.md,
William Lake,In Progress,Progress,
Ayoub Zayati,Implement connections requests,connections requests list,requests list with
John Leider,chore(presets): update invalid,update invalid release,invalid release versions
Tonus1,Update README.md,README.md,
Ali,Update README.md,README.md,
keptn,Added resources,resources,
Jerome Haltom,Changed to ref,"to ref struct,","ref struct, which"
Andrell Bower,Poseidon: fire-incidents.md last,fire-incidents.md last updated,"last updated 2019-12-31,"
Andrell Bower,Pullback: Poseidon: fire-incidents.md,Poseidon: fire-incidents.md last,fire-incidents.md last updated
ripamf2991,Update prog447_2.md,prog447_2.md,
Scott Matsuda,Automatically backed up,backed up by,up by Learn
eoli3n,try fish command,fish command in,command in front
石头,docs(): 添加 /docs,添加 /docs 作为次级文档目录,/docs 作为次级文档目录
Agustin Mendez,WIP,,
Ri Xin Yang,Automatically backed up,backed up by,up by Learn
Seongjun Yun,"Revert darkmode

Every page","darkmode

Every page flickering",page flickering when
ripamf2991,Update prog1530_2.md,prog1530_2.md,
BlackTecno,Create README.md,README.md,
THGABS,"Update zh_cn.lang

New translation","zh_cn.lang

New translation from",translation from Chinese
srg74,"Update readme.txt

Minor editing","readme.txt

Minor editing",editing
Steven Andrew Wallace,test,,
ctf0,008,,
Jake,feat: 2020년 1월,2020년 1월 1일,"1월 1일 PS

Geeksforgeeks
-"
ripamf2991,Update .md,.md,
lookwendyican,initial files,files,
dependabot[bot],Bump silverstripe/framework from,silverstripe/framework from 4.3.3,from 4.3.3 to
Sebastian Kalicki,Merge pull request,pull request #3,request #3 from
Abid Khalil,Updating file 'metrolink.html',file 'metrolink.html','metrolink.html'
gforney,Merge pull request,pull request #919,request #919 from
sudoix,edit glance installation,glance installation,installation
5john,2020/01/01 00:53:27 ,00:53:27  ,  
otiny,update,,
lizlove,Basic layout is,layout is a-ok.,is a-ok.
zairazu,Date modified from,modified from 2019-12-30,from 2019-12-30 to
Abid Khalil,Updating file 'tube.html',file 'tube.html','tube.html'
Jonnyy,438,,
jenkins-x-bot,chore(deps): bump https://github.com/jenkins-x/jenkins-x-builders.git,bump https://github.com/jenkins-x/jenkins-x-builders.git from,https://github.com/jenkins-x/jenkins-x-builders.git from 2.0.1094-428
jenkins-x-bot,chore(deps): bump https://github.com/jenkins-x/jenkins-x-builders.git,bump https://github.com/jenkins-x/jenkins-x-builders.git from,https://github.com/jenkins-x/jenkins-x-builders.git from 2.0.1094-428
